ClassName.Method,OperatorsInserted,FoundByTool,Difference,TypeOfDiffernce
In file,API.java
API.<init>,1,0,1,non_negative
API.getApi,4,0,4,non_negative
In file,Tls12SocketFactory.java
Tls12SocketFactory.<init>,1,0,1,non_negative
Tls12SocketFactory.Tls12SocketFactory,1,0,1,non_negative
Tls12SocketFactory.getDefaultCipherSuites,1,0,1,non_negative
Tls12SocketFactory.getSupportedCipherSuites,1,0,1,non_negative
Tls12SocketFactory.createSocket,5,0,5,non_negative
Tls12SocketFactory.patch,2,0,2,non_negative
Tls12SocketFactory.enableTls12OnPreLollipop,4,0,4,non_negative
In file,NASAServices.java
In file,MainActivity.java
MainActivity.<init>,1,0,1,non_negative
MainActivity.onCreate,1,0,1,non_negative
1.<init>,8,4,4,non_negative
1.onItemClick,3,0,3,non_negative
MainActivity.onCreateOptionsMenu,1,0,1,non_negative
MainActivity.onOptionsItemSelected,1,0,1,non_negative
MainActivity.enforceIconBar,1,0,1,non_negative
MainActivity.getNasaAPODS,1,0,1,non_negative
MainActivity.picassoClearCache,3,0,3,non_negative
In file,ImageActivity.java
ImageActivity.<init>,1,3,-2,negative
1.run,4,0,4,non_negative
ImageActivity.onCreate,1,2,-1,negative
1.onClick,3,2,1,non_negative
ImageActivity.onPostCreate,1,2,-1,negative
ImageActivity.toggle,3,10,-7,negative
ImageActivity.hide,2,6,-4,negative
ImageActivity.show,1,2,-1,negative
ImageActivity.delayedHide,1,2,-1,negative
In file,ViewActivity.java
ViewActivity.<init>,1,3,-2,negative
ViewActivity.onCreate,1,8,-7,negative
ViewActivity.onCreateOptionsMenu,1,6,-5,negative
ViewActivity.onOptionsItemSelected,1,2,-1,negative
ViewActivity.checkPermission,7,22,-15,negative
ViewActivity.downloadPicasso,1,2,-1,negative
ViewActivity.OlderVersions,3,6,-3,negative
ViewActivity.onRequestPermissionsResult,4,18,-14,negative
ViewActivity.CheckPermission,1,2,-1,negative
ViewActivity.getImageNameApod,1,2,-1,negative
ViewActivity.setDataNasaAPOD,1,3,-2,negative
ViewActivity.getConcat,3,12,-9,negative
In file,NASA.java
NASA.<init>,1,0,1,non_negative
NASA.NASA,1,0,1,non_negative
NASA.getCopyright,1,2,-1,negative
NASA.setCopyright,1,0,1,non_negative
NASA.getDate,1,2,-1,negative
NASA.setDate,1,0,1,non_negative
NASA.getExplanation,1,2,-1,negative
NASA.setExplanation,1,0,1,non_negative
NASA.getHdurl,1,2,-1,negative
NASA.setHdurl,1,0,1,non_negative
NASA.getMedia_type,1,0,1,non_negative
NASA.setMedia_type,1,0,1,non_negative
NASA.getService_version,1,0,1,non_negative
NASA.setService_version,1,0,1,non_negative
NASA.getTitle,1,2,-1,negative
NASA.setTitle,1,0,1,non_negative
NASA.getUrl,1,2,-1,negative
NASA.setUrl,1,0,1,non_negative
In file,PicassoDownloader.java
PicassoDownloader.<init>,1,6,-5,negative
PicassoDownloader.PicassoDownloader,1,0,1,non_negative
PicassoDownloader.onPrepareLoad,1,0,1,non_negative
PicassoDownloader.onBitmapLoaded,1,0,1,non_negative
PicassoDownloader.saveImage,5,0,5,non_negative
PicassoDownloader.onBitmapFailed,1,0,1,non_negative
In file,MyAdapter.java
MyAdapter.<init>,1,0,1,non_negative
MyAdapter.addAll,3,0,3,non_negative
MyAdapter.MyAdapter,1,0,1,non_negative
MyAdapter.onCreateViewHolder,1,0,1,non_negative
MyAdapter.onBindViewHolder,1,0,1,non_negative
MyAdapter.getItemCount,1,0,1,non_negative
ViewHolder.<init>,1,0,1,non_negative
ViewHolder.ViewHolder,1,0,1,non_negative
ViewHolder.bind,1,0,1,non_negative
In file,NasaController.java
NasaController.<init>,1,0,1,non_negative
NasaController.getNASAAPODS,1,0,1,non_negative
1.onResponse,1,0,1,non_negative
1.onFailure,1,0,1,non_negative
